Funciones del Sistema,,,,
#,ID Categoría,Categoría,Función,Descripción
1,MAS,Modelos de Aprendizaje Supervisado,Implementar algoritmo Naive Bayes,El sistema deberá permitir implementar el algoritmo Naive Bayes para entorno de aprendizaje supervisado
2,,,Implementar algoritmo KNN,El sistema deberá permitir implementar el algoritmo KNN para entorno de aprendizaje supervisado
3,,,Implementar algoritmo Random Forest,El sistema deberá permitir implementar el algoritmo Random Forest para entorno de aprendizaje supervisado
4,,,Implementar algoritmo AdaBoost,El sistema deberá permitir implementar el algoritmo AdaBoost para entorno de aprendizaje supervisado
5,,,Implementar algoritmo SVM,El sistema deberá permitir implementar el algoritmo SVM para entorno de aprendizaje supervisado
6,,,Implementar algoritmo NuSVC,El sistema deberá permitir implementar el algoritmo NuSVC para entorno de aprendizaje supervisado
7,,,Implementar algoritmo MLP,El sistema deberá permitir implementar el algoritmo MLP para entorno de aprendizaje supervisado
8,,,Implementar algoritmo Árboles de Decisión,El sistema deberá permitir implementar el algoritmo Árboles de decisión para entorno de aprendizaje supervisado
9,,,Implementar validación cruzada,El sistema deberá permitir implementar los algoritmos de validación cruzada para cada algoritmo
10,,,Implementar validación LOU,El sistema deberá permitir implementar los algoritmos de validación LOU para cada algoritmo
11,,,Estimar Curva ROC,El sistema deberá permitir estimar la curva roc para el modelo resultante
12,,,Estimar curva de validación,El sistema deberá permitir estimar la curva de validación para el modelo resultante
13,,,Estimar matriz de confusión,El sistema deberá permitir estimar la matriz de confusión para el modelo resultante
14,,,Estimar las medidas de desempeño,El sistema deberá permitir estimar las medidas de desempeño obtenidas para el modelo resultante
15,,,Alojar resultados en job,El sistema deberá permitir alojar los resultados obtenidos en el job relacionado al área de trabajo
